Item,ID_Calle,Nombre_Calle,ID_Calle_Origen,ID_Calle_Final,ID_Origen_intereccion,ID_Final_Interseccion,distancia_Km,velocidad,Costo1,Costo2,Latitud_Origen_Interseccion,Longitud_Origen_Interseccion,Latitud_Destino_Interseccion,Longitud_Destino_Interseccion
451,4828731,Naranjal,31043922,31043923,97,98,0.0229649,70,0.0003281,1000000,-11.9765787,-77.0593663,-11.976523,-77.0595696
452,4828731,Naranjal,31043923,1295958621,98,161,0.0114392,70,0.0001634,1000000,-11.976523,-77.0595696,-11.9765376,-77.0596737
453,4828731,Naranjal,1295958621,273429455,161,2705,0.0638017,70,0.0009115,1000000,-11.9765376,-77.0596737,-11.9766191,-77.0602543
454,4828731,Naranjal,273429455,31043925,2705,99,0.5325391,70,0.0076077,1000000,-11.9766191,-77.0602543,-11.977265,-77.065089
456,4828738,Naranjal,31043952,31072185,101,2706,0.6062355,70,0.0086605,1000000,-11.9780878,-77.0653701,-11.976736,-77.0602415
457,4828738,Naranjal,31072185,844402495,2706,46941,0.0181391,70,0.0002591,1000000,-11.976736,-77.0602415,-11.9767896,-77.060084
458,4828738,Naranjal,844402495,31043918,46941,102,0.0432819,70,0.0006183,1000000,-11.9767896,-77.060084,-11.9769393,-77.0597167
459,4828743,Av. Naranjal,31043944,31069245,56,12989,0.6614925,70,0.0094499,1000000,-11.976904,-77.0666597,-11.9784351,-77.0722402
460,4828743,Av. Naranjal,31069245,31069290,12989,111,0.015722,70,0.0002246,1000000,-11.9784351,-77.0722402,-11.9784413,-77.0723846
461,4828743,Av. Naranjal,31069290,31045173,111,184,0.48384,70,0.006912,1000000,-11.9784413,-77.0723846,-11.978029,-77.0767577
462,4828743,Av. Naranjal,31045173,31045189,184,8906,0.1014392,70,0.0014491,1000000,-11.978029,-77.0767577,-11.9778252,-77.0776667
463,4828743,Av. Naranjal,31045189,1305382964,8906,47670,0.0310568,70,0.0004437,1000000,-11.9778252,-77.0776667,-11.9777607,-77.0779445
464,4828743,Av. Naranjal,1305382964,273427591,47670,12972,0.5775333,70,0.0082505,1000000,-11.9777607,-77.0779445,-11.9765734,-77.0831133
465,4828743,Av. Naranjal,273427591,769214402,12972,90762,0.0157661,70,0.0002252,1000000,-11.9765734,-77.0831133,-11.9765491,-77.0832561
466,4828743,Av. Naranjal,769214402,1384282499,90762,48113,0.5169479,70,0.007385,1000000,-11.9765491,-77.0832561,-11.9743451,-77.0873022
467,4828743,Av. Naranjal,1384282499,1384282491,48113,59720,0.0400056,70,0.0005715,1000000,-11.9743451,-77.0873022,-11.9741953,-77.0876359
468,4828743,Av. Naranjal,1384282491,31044190,59720,103,0.0187746,70,0.0002682,1000000,-11.9741953,-77.0876359,-11.9741501,-77.0878022
469,4828763,Av. Ang�lica Gamarra,31044276,31044257,104,90638,0.0546426,70,0.0007806,1000000,-12.0118785,-77.0902779,-12.0116201,-77.0898598
470,4828763,Av. Ang�lica Gamarra,31044257,1439430763,90638,18397,0.0538205,70,0.0007689,1000000,-12.0116201,-77.0898598,-12.0113027,-77.0894862
471,4828763,Av. Ang�lica Gamarra,1439430763,844536008,18397,16785,0.0448013,70,0.00064,1000000,-12.0113027,-77.0894862,-12.0110385,-77.0891752
472,4828763,Av. Ang�lica Gamarra,844536008,1359116963,16785,96450,0.2201074,70,0.0031444,1000000,-12.0110385,-77.0891752,-12.0097868,-77.0876074
473,4828763,Av. Ang�lica Gamarra,1359116963,1359116960,96450,16841,0.0158556,70,0.0002265,1000000,-12.0097868,-77.0876074,-12.0096836,-77.0875068
474,4828763,Av. Ang�lica Gamarra,1359116960,1359116829,16841,16842,0.3549256,70,0.0050704,1000000,-12.0096836,-77.0875068,-12.0075815,-77.0850531
475,4828763,Av. Ang�lica Gamarra,1359116829,1359116812,16842,16831,0.0570224,70,0.0008146,1000000,-12.0075815,-77.0850531,-12.0073325,-77.0845954
476,4828763,Av. Ang�lica Gamarra,1359116812,1359116804,16831,16836,0.0248669,70,0.0003552,1000000,-12.0073325,-77.0845954,-12.0072321,-77.0843911
477,4828763,Av. Ang�lica Gamarra,1359116804,31044286,16836,8911,0.2133749,70,0.0030482,1000000,-12.0072321,-77.0843911,-12.006696,-77.0825192
478,4828763,Av. Ang�lica Gamarra,31044286,31044752,8911,180,0.0242329,70,0.0003462,1000000,-12.006696,-77.0825192,-12.0066775,-77.0822972
479,4828763,Av. Ang�lica Gamarra,31044752,1740887176,180,25662,0.0155038,70,0.0002215,1000000,-12.0066775,-77.0822972,-12.0066739,-77.0821547
480,4828763,Av. Ang�lica Gamarra,1740887176,2477162335,25662,16705,0.3505758,70,0.0050082,1000000,-12.0066739,-77.0821547,-12.0064998,-77.0789363
481,4828763,Av. Ang�lica Gamarra,2477162335,1740887208,16705,29310,0.1369245,70,0.0019561,1000000,-12.0064998,-77.0789363,-12.0064316,-77.0776793
482,4828763,Av. Ang�lica Gamarra,1740887208,1740890529,29310,70308,0.0086807,70,0.000124,1000000,-12.0064316,-77.0776793,-12.0064247,-77.0775998
483,4828763,Av. Ang�lica Gamarra,1740890529,31044287,70308,16715,0.069891,70,0.0009984,1000000,-12.0064247,-77.0775998,-12.0063933,-77.076958
484,4828763,Av. Ang�lica Gamarra,31044287,1740889174,16715,28633,0.0523652,70,0.0007481,1000000,-12.0063933,-77.076958,-12.0063856,-77.0764766
485,4828763,Av. Ang�lica Gamarra,1740889174,31044288,28633,54692,0.0734916,70,0.0010499,1000000,-12.0063856,-77.0764766,-12.0064267,-77.0758022
486,4828763,Av. Ang�lica Gamarra,31044288,31044289,54692,16677,0.1065665,70,0.0015224,1000000,-12.0064267,-77.0758022,-12.0064584,-77.0748232
487,4828763,Av. Ang�lica Gamarra,31044289,2477162307,16677,16634,0.4198691,70,0.0059981,1000000,-12.0064584,-77.0748232,-12.0059135,-77.0710038
488,4828763,Av. Ang�lica Gamarra,2477162307,2470149572,16634,95811,0.3288602,70,0.004698,1000000,-12.0059135,-77.0710038,-12.0054521,-77.0680172
489,4828763,Av. Ang�lica Gamarra,2470149572,301458064,95811,90646,0.5738832,70,0.0081983,1000000,-12.0054521,-77.0680172,-12.0046977,-77.0627975
490,4828763,Av. Ang�lica Gamarra,301458064,1844351691,90646,105,0.0659747,70,0.0009425,1000000,-12.0046977,-77.0627975,-12.0046527,-77.0621969
491,4828802,Av. Bocanegra,2549104060,1359116595,106,54917,0.2459103,60,0.0040985,0.0040985,-12.0059743,-77.0976172,-12.0048842,-77.0956674
492,4828802,Av. Bocanegra,1359116595,1359116531,54917,55051,0.1184918,60,0.0019749,0.0019749,-12.0048842,-77.0956674,-12.0042073,-77.0948263
493,4828802,Av. Bocanegra,1359116531,1359116526,55051,32301,0.011372,60,0.0001895,0.0001895,-12.0042073,-77.0948263,-12.0041308,-77.0947569
494,4828802,Av. Bocanegra,1359116526,1359116513,32301,55790,0.1458649,60,0.0024311,0.0024311,-12.0041308,-77.0947569,-12.0035651,-77.0935469
495,4828802,Av. Bocanegra,1359116513,1359116485,55790,55230,0.1241484,60,0.0020691,0.0020691,-12.0035651,-77.0935469,-12.0031137,-77.0925029
496,4828802,Av. Bocanegra,1359116485,1359116466,55230,54857,0.0541886,60,0.0009031,0.0009031,-12.0031137,-77.0925029,-12.0028565,-77.0920817
497,4828802,Av. Bocanegra,1359116466,1359116462,54857,55414,0.0049073,60,0.0000818,0.0000818,-12.0028565,-77.0920817,-12.0028231,-77.0920522
498,4828802,Av. Bocanegra,1359116462,1359116432,55414,55279,0.0523852,60,0.0008731,0.0008731,-12.0028231,-77.0920522,-12.0024262,-77.0917949
499,4828802,Av. Bocanegra,1359116432,1359116410,55279,55285,0.030741,60,0.0005124,0.0005124,-12.0024262,-77.0917949,-12.0021831,-77.0916603
500,4828802,Av. Bocanegra,1359116410,1359116405,55285,55447,0.0317588,60,0.0005293,0.0005293,-12.0021831,-77.0916603,-12.0019275,-77.09153
501,4828802,Av. Bocanegra,1359116405,1359116352,55447,81701,0.0888672,60,0.0014811,0.0014811,-12.0019275,-77.09153,-12.0012366,-77.0911193
502,4828802,Av. Bocanegra,1359116352,1359116278,81701,55537,0.1082717,60,0.0018045,0.0018045,-12.0012366,-77.0911193,-12.0003689,-77.0906676
503,4828802,Av. Bocanegra,1359116278,1359116131,55537,55575,0.1545065,60,0.0025751,0.0025751,-12.0003689,-77.0906676,-11.9991412,-77.0900023
504,4828802,Av. Bocanegra,1359116131,1359116060,55575,55530,0.0552717,60,0.0009212,0.0009212,-11.9991412,-77.0900023,-11.9987267,-77.0897223
505,4828802,Av. Bocanegra,1359116060,1359116004,55530,55607,0.0604885,60,0.0010081,0.0010081,-11.9987267,-77.0897223,-11.9983275,-77.0893482
506,4828802,Av. Bocanegra,1359116004,1359115974,55607,54862,0.0446011,60,0.0007434,0.0007434,-11.9983275,-77.0893482,-11.9980851,-77.0890216
507,4828802,Av. Bocanegra,1359115974,1359115929,54862,54929,0.048624,60,0.0008104,0.0008104,-11.9980851,-77.0890216,-11.9978265,-77.0886611
508,4828802,Av. Bocanegra,1359115929,1359115874,54929,54997,0.0535398,60,0.0008923,0.0008923,-11.9978265,-77.0886611,-11.9975433,-77.088263
509,4828802,Av. Bocanegra,1359115874,1359115837,54997,55120,0.0503741,60,0.0008396,0.0008396,-11.9975433,-77.088263,-11.9972769,-77.0878884
510,4828802,Av. Bocanegra,1359115837,1359115792,55120,107,0.0382338,60,0.0006372,0.0006372,-11.9972769,-77.0878884,-11.9970685,-77.0876088
511,4831287,Av. Santiago Antunez de Mayolo,1359115792,31045013,107,55336,0.0355302,60,0.0005922,1000000,-11.9970685,-77.0876088,-11.9968748,-77.087349
512,4831287,Av. Santiago Antunez de Mayolo,31045013,1359115561,55336,54703,0.0654388,60,0.0010906,1000000,-11.9968748,-77.087349,-11.9966924,-77.08678
513,4831287,Av. Santiago Antunez de Mayolo,1359115561,1359115602,54703,55096,0.0381464,60,0.0006358,1000000,-11.9966924,-77.08678,-11.9966122,-77.086439
514,4831287,Av. Santiago Antunez de Mayolo,1359115602,1359115529,55096,55196,0.1006815,60,0.001678,1000000,-11.9966122,-77.086439,-11.996372,-77.0855465
